example_id,data_split,seed,candidate_library,scheduler,num_rounds,epsilon_target,schedule_id,schedule,score_random,score_confidence,score_entropy,score_dependency,score_dprm_itemwise,score_diag_um,score_projection,score_residualized,score_budgeted,actual_response_power,actual_terminal_gain,frontier_width_histogram,gamma_pinv,gamma_ridge,gram_delta,ridge_multiplier,used_pinv,adaptation_terminal_labels,width_weight_source
s0-i12,held_out,0,oracle,random_balanced,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,confidence,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,entropy,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,dependency_cmi,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,min_within_batch_tc,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,dprm_myopic,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,dprm_rollout,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,subset_exact,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,subset_beam_8,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,subset_beam_32,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,saps_diagonal,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,p_saps_residualized,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,p_saps_projection,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,b_saps_budgeted,1,0.01,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.0010144903489961452,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.0010144903489961452,0.0,-6.721962525201999,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,random_balanced,1,0.05,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.004563285012159976,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.004563285012159976,0.05715095897083289,3.05499525915795,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,confidence,1,0.05,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.004563285012159976,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.004563285012159976,0.05715095897083289,3.05499525915795,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
s0-i12,held_out,0,oracle,entropy,1,0.05,54a0dc573c0908b1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",0.004563285012159976,-0.0,0.0,-1.862108313713804e-15,,1.0000000000000002,9.017047911696482,9.017047911696482,0.004563285012159976,0.05715095897083289,3.05499525915795,"{""1"": 12}",9.017047911696482,9.016894048850304,2.2824519653126263,1e-05,True,40,development_isotonic_frozen
